manufacturer,model,impedance_ohm,fs_hz,qts,qes,qms,vas_l,re_ohm,le_mh,sd_cm2,mms_g,mmd_g,cms_mm_per_n,rms_ns_per_m,bl_tm,xmax_mm,xmech_mm,vd_cm3,linear_travel_pp_mm,max_travel_pp_mm,xlin_mm,eta0_percent,ebp_hz,sensitivity_db,power_rms_w,power_handling_w,nominal_diameter_in,qa_as_printed,sensitivity_1w_1m_db,sensitivity_2v83_1m_db,le_frequency_hz,nominal_diameter_mm,overall_diameter_mm,overall_width_mm,overall_height_mm,overall_depth_mm,mounting_depth_mm,cutout_diameter_mm,bolt_circle_diameter_mm,mounting_hole_diameter_mm,mounting_hole_count,flange_thickness_mm,magnet_diameter_mm,magnet_depth_mm,voice_coil_diameter_mm,voice_coil_height_mm,voice_coil_former_height_mm,gap_height_mm,effective_diaphragm_diameter_mm,cone_dome_diameter_mm,ribbon_dimension_1_mm,ribbon_dimension_2_mm,overall_dimension_1_mm,overall_dimension_2_mm,overall_dimension_3_mm,cutout_dimension_1_mm,cutout_dimension_2_mm,tweeter_voice_coil_diameter_mm,tweeter_voice_coil_height_mm,tweeter_gap_height_mm,krm_microohm,erm,kxm_mh,exm,power_peak_w,frequency_min_hz,frequency_max_hz,crossover_frequency_hz,crossover_slope_db_per_oct,power_continuous_iec268_5_w,power_test_highpass_hz,power_test_highpass_slope_db_per_oct,net_weight_kg,magnet_weight_g,sensitivity_tolerance_db
Audikom,EX25Q-4,4,224,0.69,,,,4.3,0.25,,1.75,,0.0003,,3.86,,,,,,,,,,20,,,,,,1000,,101.44,,,24.7,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio Electronics,BMB180,15,40,0.35,0.37,5.36,22.5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio Note,SPKR-ALC-AG-H-21-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio Note,SPKR-ALC-AG-H-22-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio Note,SPKR-ALC-AG-P-21-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio Note,SPKR-HE-AG-H-21-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio Note,SPKR-HE-AG-H-22-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio Note,SPKR-STD-CU-H-21-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio Note,SPKR-STD-CU-H-22-6-W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio Note,SPKR-STD-CU-P-21-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio Note,SPKR-STD-CU-P-22-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio Note,SPKR-STD-CU-P-K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio Note,SPKR-T-ALC-AG-MWK-B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio Note,SPKR-T-STD-AG-PLA-B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio Note,SPKR-T-STD-CU-D19-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio Note,SPKR-T-STD-CU-PLA-B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audiotechnology,12D772510KAP,,,0.25,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audiotechnology,12F1022510KAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audiotechnology,15H520613SD,8,48,0.33,0.4,1.73,16,5.3,0.12,96,8.9,,1.24,1.55,6,,,,,,,,,89,,,,,,,1000,,,,,,,,,,,,,,,6,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audiotechnology,15H521206SDKM,8,55,0.28,0.29,5.8,15,5.5,0.07,100,7.2,,1.16,0.43,6.82,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,12,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audiotechnology,15H521206SDKM-LR,8,65,0.45,0.5,4.8,9.2,5.5,0.12,100,9.24,8.75,0.65,0.79,,,,,,,,,,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audiotechnology,18H520613SDKA-LR,8,40,0.32,0.39,1.8,28.5,5.6,0.13,137,14.6,,1.09,2.04,7.3,,,,,,,,,89,,,,,,,1000,,,,,,,,,,,,,,,17,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audiotechnology,18H521706SDKA,8,40,0.32,0.39,1.8,28.5,5.6,0.13,137,14.6,,1.09,2.04,7.3,,,,,,,,,89,,,,,,,1000,,,,,,,,,,,,,,,17,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audiotechnology,18I52-LR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audiotechnology,18I521706SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audiotechnology,23I522006SD,8,33,0.26,0.3,1.85,70,6,0.2,225,23.5,,0.988,2.64,9.96,,,,,,,,,91,,,,,,,1000,,,,,,,,,,,,,,,20,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audiotechnology,4H520613SD,,,0.29,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audiotechnology,5H521506SD,,,0.32,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audiotechnology,6H521706SDKA,,,0.28,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audiotechnology,8I522006SD,,33,0.26,0.3,1.85,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AuraSound,AST-2B-4,4,40,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,157,,,63.5,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AuraSound,ns3-193-8a1,8,80,0.67,,8,1.25,7.6,,31,4.3,,0.92,,4.7,,,,9.5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AuraSound,nsw1-205-8a,8,220,0.7,1.1,2.1,0.04,6.3,,5.31,0.5,,1.155,,1.9,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AuraSound,nsw2-326-8at,8,250,0.68,0.8,4.72,0.1,6.4,,13.2,1.04,,0.39,,3.5,,,,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurum Cantus,A-C-G2Si,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyma,10CX300/FE,,48,0.38,0.41,5.3,62.7,5.2,0.4,38,35,,0.307,,11.65,6.75,,,,,,1.65,,,,,,,,,,,,,,153,,228,,,,,,,,17.5,,10,,,,,260.5,,,,,,,,,,,,,,,,,,,,,,
Beyma,12CXA400/FE,,,,,,,,,,66,,,,19.8,,,,,,,2.2,,,,,,,,,,,,,,165,,282.6,,,,,,,,10,,10,,,,,311.7,,,,,,,,,,,,,,,,,,,,,,
Beyma,12CXA400/ND,,45,0.25,0.26,7.1,88.5,6.6,1,55,64,,0.207,,21.4,6,,,,,,2.75,,,,,,,,,,,,,,154,,282.6,,,,,,,,16,,9,,,,,311.7,,,,,,,,,,,,,,,,,,,,,,
Beyma,15CXA400/FE,,40,0.42,0.43,16.4,191,6.3,0.95,88,90,,0.175,,18.2,6,,,,,,2.75,,,,,,,,,,,,,,185,,370,,,,,,,,16,,10,,,,,388,,,,,,,,,,,,,,,,,,,,,,
Beyma,15CXA400/ND,,40,0.36,0.39,4.37,196,6.6,0.9,88,84,,0.181,,19.04,6,,,,,,3.3,,,,,,,,,,,,,,180,,349.5,,,,,,,,16,,9,,,,,388,,,,,,,,,,,,,,,,,,,,,,
Beyma,5CX200/FE,8,69,0.31,0.32,10.7,,5.1,0.22,95,7,,0.697,,7.18,5.7,,,,,,0.86,,92.5,,150,,,,,,,,,,107,,119.2,,,,,,,,14,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,
Beyma,8 NMFW Woofer 8 Ohm,8,37,0.34,,7.6,27,5.7,1.1,227,48,,3.76,,13.4,9,,,,,,0.4,,90,,200,,,,,,,,,,125,,181,,,,,,,50.8,20,,,,,,,227,,,,,,,,,,,,,,,,,,,,,,
Beyma,CD1014FE,8,,,,,,4.3,,,,,,,6.6,,,,,,,,,110,,70,,,,,,,,,,65,,,,,,,,,44.4,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,
Beyma,CD10FE,8,,,,,,4.3,,,,,,,6.6,,,,,,,,,109,,70,,,,,,,,,,62,,,,,,,,1.2,44.4,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,
Beyma,CD10ND,8,,,,,,4.3,,,,,,,8.9,,,,,,,,,111,,70,,,,,,,,,,66,,,,,,,,,44.4,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,
Beyma,CP09,8,,,,,,5.2,,,,,,,4,,,,,,,,,104,,15,,,,,,,,,,96,,,,,,,,,25.4,,,,,,,,98,92,,84,72,,,,,,,,,,,,,,,,,,
Beyma,CP12,8,,,,,,5,,,,,,,4,,,,,,,,,107,,30,,,,,,,,,,63,,72,,,,,,,25.8,,,,,,,,87,87,,,,,,,,,,,,,,,,,,,,,
Beyma,CP16,8,,,,,,7.3,,,,,,,4,,,,,,,,,105,,15,,,,,,,,,,65,,53.5,,,,,,,25.8,,,,,,,,86,86,,,,,,,,,,,,,,,,,,,,,
Beyma,CP21,8,,,,,,6.1,,,,,,,5.2,,,,,,,,,105,,25,,,,,,,,,,71,,92,,,,,,,37.6,,,,,,,,102,102,,,,,,,,,,,,,,,,,,,,,
Beyma,CP22,8,,,,,,6.1,,,,,,,5.2,,,,,,,,,107,,25,,,,,,,,,,71,,61,,,,,,,37.6,,,,,,,,102,102,,,,,,,,,,,,,,,,,,,,,
Beyma,CP380,8,,,,,,4.7,,,,,,,7,,,,,,,,,107,,100,,,,,,,,,,75,,,,,,,,,44,,,,,,,,146.5,,,,,,,,,,,,,,,,,,,,,,
Beyma,CP385ND,8,,,,,,4.7,,,,,,,7.5,,,,,,,,,107,,70,,,,,,,,,,80,,,,,,,,,44.4,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,
Beyma,CP755ND,8,,,,,,5.5,,,,,,,11.5,,,,,,,,,120,,60,,,,,,,,,,65,,,,,,,,,72.2,,,,,,,,145,65,,,,,,,,,,,,,,,,,,,,,
Beyma,CP755ND/AL,8,,,,,,5.5,,,,,,,11.5,,,,,,,,,112,,90,,,,,,,,,,65,,,,,,,,,72.2,,,,,,,,145,,,,,,,,,,,,,,,,,,,,,,
Beyma,SK-07/T,16,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,,,79,,,,,4,,,,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyma,T 2030 Aluminium Dome,8,1050,1.122,1.567,3.95,,5,,,,,,,3,,,,,,,,,95,,30,,,,,,,,,,42,,84.5,,,,,,,25.4,,,,,,,,102.5,,,,,,,,,,,,,,,,,,,,,,
Beyma,TPL-150,8,1000,,,,,4.9,,,,,,,,,,,,,,,,99,,80,,,,,,,,,,68.4,,,,,,,,,,,,,,,,,160,130,,150,130,,,,,,,,,,,,,,,,,,
Beyma,TPL-150/H,8,1200,,,,,4.9,,,,,,,,,,,,,,,,102,,80,,,,,,,,,,148,,,,,,,,,,,,,,,,,230,230,148,195,195,,,,,,,,,,,,,,,,,,
Beyma,TPL-200/B,8,,,,,,4.9,,,,,,,,,,,,,,,,101,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,160,130,72,,,,,,,,,,,,,,,,,,,,
Beyma,TPL-200/H,8,,,,,,4.9,,,,,,,,,,,,,,,,104,,120,,,,,,,,,,152,,,,,,,,,,,,,,,,,230,230,152,,,,,,,,,,,,,,,,,,,,
Beyma,TPL-200/S,8,,,,,,4.9,,,,,,,,,,,,,,,,101,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,160,130,72,,,,,,,,,,,,,,,,,,,,
Beyma,TPL-75,8,,,,,,4.9,,,,,,,,,,,,,,,,92,,80,,,,,,,,,,38,,,,,,,,,,,,,,,,,123,112,,100,86,,,,,,,,,,,,,,,,,,
Beyma,WL-3,8,,,,,,5.6,,,,,,,8,,,,,,,,,105,,80,,,,,,,,,,,,,,,,,,,44,,,,,,,,50,80,40,,,,,,,,,,,,,,,,,,,,
Beyma,WL-4,8,,,,,,5.6,,,,,,,8,,,,,,,,,105,,40,,,,,,,,,,195,,185,,,,,,,44.4,,,,,,,,107,40,68,,,,,,,,,,,,,,,,,,,,
Bliesma,T25B-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bliesma,T34A-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bliesma,T34B-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buttkicker,BK-CT,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buttkicker,BK-LFE,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buttkicker,BK-MINI-CT CONCERT Miniature Transducer Seat Bass Shaker 50W 2Ω 10Hz-350Hz,2,9,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,122.3,76.2,110.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buttkicker,BK-mini-LFE,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carpower,SP-252C,4,35,0.41,0.47,3.15,96,3.7,0.4,353,38,,0.55,,8.08,,,,,,,,,,,,,,,,1000,,,,,,110,,,,,,125,,39,,,5,,,,,255,,,,,,,,,,,,,,,,,,,,,,
Clark Synthesis,AQ339-100,4,,,,,,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark Synthesis,TST209,4,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,203,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark Synthesis,TST239,4,,,,,,,,,,,,,,,,,,,,,,,135,,,,,,,203,203.2,,,57.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark Synthesis,TST329,4,,,,,,,,,,,,,,,,,,,,,,,135,,,,,,,203,203.2,,,57.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coles,4001G 16OHM,16,1600,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coles,4001G 8 OHM,7,1600,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cube Audio,F10,6,30,0.43,0.44,17.8,127,5.5,0.006,346,,,0.76,,9.7,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cube Audio,F8,10,39,0.36,0.37,21.7,54,,0.008,230,,,0.74,,11.5,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cube Audio,F8,,42,0.37,0.37,16.4,53,6,0.01,230,,,0.74,,9,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cube Audio,FC8,,42,0.38,0.39,14.3,55,6,0.094,230,,,0.81,,8.6,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,AMT Mini-8,8,,1.84,,1.86,,7.92,,,,,,,,,,,,,,,,88,15,,,,88,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,AMT2-4,4,2300,2.86,,2.92,,3.5,,8.91,,,,,,,,,,,,,,92.5,15,15,,,,92.5,,,90,,,,,65,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,AMT3-4,4,1900,6.15,,6.26,,3,,,,,,,,,,,,,,,,93,25,,,,,,,,,,,19.05,,,,,,,,,,,,,,,,,130.048,94.996,,113.03,68.072,,,,,,,,,,,,,,,,,,
Dayton Audio,AMTHR-4,4,,,,,,4.06,,,,,,,,,,,,,,,,94,25,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,
Dayton Audio,AMTPOD-4,4,,2.06,,,,3.1,,4.7,,,,,,,,,,,,,,90,15,,,,,90,,,41.91,,,21.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,AMTPRO-4,4,800,4.12,,,,3.96,0.06,54.72,,,,,,,,,,,,,,94,50,,,,94,,,,,,,36.068,,71.882,,,,,,,,,,,,,,,199.898,100.076,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,AN25F-4,4,1619,1.27,1.91,3.77,,3.04,0.03,,,,,,,,,,,,,,,96.5,30,,,,,96.5,,25.4,,,,,,,,,,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,AN2TI-4,4,1744,1.3,2.28,3.04,,3.11,0.03,,,,,,,,,,,,,,,95.5,40,,,,,95.5,,25.4,,,,,,,,,,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,BCE-1,4,2100,,,,,4,0.56,,,,,,,,,,,,,,,,1,,,,,,,22,,,,7.5,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,BCT-3,4,236,4.83,7.99,13.3,,3.9,0.34,,6.1,,0.046,,4.41,,,,,,,,,,15,,,,,,1000,35,,,,,,,,,,,,,26,,,,,,,,44,32,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,BST-1,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,BST-1,4,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,147,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,BST-2,4,30,,,,,,,,,,,,,,,,,,,,,102,35,,,,,,,130,130.8,,,54.9,,,127,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,BST-300EX,4,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,180,,180,180,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,CC80W,8,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,CE30P-4,4,336,0.8,1.03,3.62,0.007928717,3.4,0.19,4.1,,,0.34,,2.16,0.3,,,,,,,,81,4,,,,,81,,25.4,31.75,,,14.5,,30.2,,,,,,,12.954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,CE35-4,4,3300,,,,,3.3,0.01,,,,,,,,,,,,,,,90,10,,,,,90,10000,25.4,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,CF18N-4,4,1100,1.2,3.1,2,,3.54,0.01,2.55,,,,,,,,,,,,,,90,40,,,,,90,10000,50,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,CF50N-4,4,345,0.68,0.82,4.09,,3,0.06,19.6,,,,,,,,,,,,,,91.5,50,,,,,91.5,10000,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,CP80TW,8,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,229,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,CX120-8 (tweeter),,,1.72,7.91,2.2,,5.6,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,D1075T,16,,,,,,,,,,,,,,,,,,,,,,110,75,,,,110,,,143,139.7,,,152.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DAEX-13-4SM,4,950,,,,,3.7,0.022,,,,,,,,,,,,,,,,3,,,,,,,16,,,,6.8,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DAEX-9-4SM,4,1200,,,,,3.6,0.013,,,,,,,,,,,,,,,,1,,,,,,,9,,,,5,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DAEX13CT-4,4,650,3.25,,,,3.6,0.04,,0.26,,0.0002,,1.12,,,,,,,,,,5,,,,,,,19,26.3,,,9.5,,,,,,,,,13,,,,,,,,26.3,32,9.5,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DAEX13CT-8,8,775,2.63,,,,7.3,0.08,,0.2,,0.0003,,1.15,,,,,,,,,,3,,,,,,1000,13,26.3,,,9.5,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DAEX19CT-4,4,637,2.34,,,,3.8,0.04,,0.58,,0.0001,,1.78,,,,,,,,,,5,,,,,,,19,33,,,13,,,,,,,,,19,,,,,,,,33,13,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DAEX19QLP-4,4,450,,,,,3.5,0.13,,,,,,,,,,,,,,,,5,5,,,,,1000,19,53,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DAEX19SL-4,4,630,,,,,2.94,0.01,,,,,,,,,,,,,,,,4,4,,,,,,,33,,,6.5,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DAEX25,8,298,,,,,7.147,0.28,,0.77,,0.534,,2.999,,,,,,,,,,5,,,,,,1000,100,,,,21,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DAEX25CT-4,4,306,1.07,,,,3.6,0.07,,1.29,,0.0002,,1.54,,,,,,,,,,10,,,,,,,48,48,,,15,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DAEX25FHE-4,4,224,0.78,,,,4.3,0.1,,1.61,,0.0003,,3.63,,,,,,,,,,24,,,,,,,27,50.5,,,20.5,,,,,4,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DAEX25Q-4,4,224,0.69,,,,4.3,0.25,,1.75,,0.0003,,3.86,,,,,,,,,,20,,,,,,,51,24.7,,,24.77,,,,,,,,,25,,,,,,,,101.44,24.77,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DAEX25TP-4,4,233,0.74,,,,4.2,0.1,,1.75,,0.0003,,3.86,,,,,,,,,,20,,,,,,1000,25,88.71,,,21,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DAEX25VT-4,4,230,0.83,,,,4.2,0.24,,1.75,,0.0003,,3.86,,,,,,,,,,20,,,,,,,51,58.1,,,20.5,,,,,,,,,25,,,,,,,,58.1,20.5,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DAEX25W-8,8,1276,1.25,,,,7.6,0.58,,0.26,,0.0002,,1.12,,,,,,,,,,10,,,,,,,25,70.2,,,21,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DAEX25X4-4,8,285,,,,,7.3,0.29,,,,,,,,,,,,,,,,40,40,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DAEX30HESF-4,4,300,,,,,3.8,0.31,,,,,,,,,,,,,,,,40,40,,,,,,30,,,,28.5,,,,,4,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DAEX32EP-4,4,395,1.38,,,,3.3,0.21,,5.4,,0.08,,4.2,,,,,,,,,,40,,,,,,,32,,,,23,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DAEX32Q-4,4,320,,,,,3.2,0.22,,,,,,,,,,,,,,,,20,20,,,,,,32,60.5,,,19.5,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DAEX32Q-8,8,580,,,,,6.5,0.36,,,,,,,,,,,,,,,,20,20,,,,,,32,60.5,,,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DAEX32QMB-4,4,480,,,,,3.7,0.23,,,,,,,,,,,,,,,,40,40,,,,,1000,32,,,,20,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
